Source	Target	Notes
skyabs su 'gro bar nges pa	definite/certain to go for refuge	
skyabs su rab tu slu ba	deceived with respect to refuge	
skyar mo	heron	
skye	to be born; to arise; to grow | be born; be produced; grow; generate; production; birth	
skye ba	birth; life | birth; production; produce; grow; be born; arising	 [Bialek]: life
skye ba bzang po	good birth; auspicious birth	
skye ba dang 'gag pa	production and cessation; birth and cessation	
skye ba dang mthun pa	concordant with birth; concordant with production	
skye ba dkar po	wholesome birth	
skye ba dman la brten	dependent on low birth	
skye ba don med pa	purposeless production; pointless production	
skye ba gcig gis thogs pa	impeded by one birth [i.e., removed from enlightenment by only one	
skye ba gcig gis thogs pa'i byang chub sems dpa'	Bodhisattva who is one lifetime away from [achieving Buddhahood]	
skye ba gzhan du	in another birth; in another lifetime	
skye ba khyad par can thob nas	having obtained/attained a special birth	
skye ba la don med pa	pointless production; purposeless production	
skye ba la nges par 'gyur ba	definite to be born/reborn	
skye ba med	not born; not reborn; not produced	
skye ba med pa	no production; non-production; birthless	
skye ba med pa la sogs pa	no production and so forth; non-production and so forth; birthless and	
skye ba med pa shes pa	knowledge of no more birth	
skye ba med pa'i chos la bzod pa	forbearance/patience/tolerance/endurance with respect to the doctrine	
skye ba ngo bo nyid	production-nature; [self-]production-nature; nature of [self-]production	
skye ba ngo bo nyid ma mchis pa	production-non-nature; [self-]production-non-nature; naturelessness of	
skye ba ngo bo nyid med pa	production-non-nature; [self-]production-non-nature; naturelessness of	
skye ba ngo bo nyid med pa nyid	production-non-nature; [self-]production-non-nature; naturelessness of	
skye ba rnam pa bcu bzhi po	fourteen types of birth	
skye ba tsam	mere production	
skye ba yang med 'gag pa yang med	no production and also no cessation; neither production nor cessation	
skye ba yongs su len pa	thoroughly taking birth	
skye ba zad pa	extinction of birth	
skye ba'i kun nas nyon mongs pa	thorough afflictions of birth	
skye ba'i lus bor te sprul pa'i lus 'dzin pa	having given up the body of birth, taking an emanation body	
skye ba'i rgyu	cause of production; cause of birth	
skye ba'i sgo	door of production; door of biruth	
skye ba'i skad cig ma dang po phyin chad	from the first moment of birth onward	
skye ba'i sprul sku	construction emanation body	
skye bo	man | being; creature; people	
skye bo blun pa	stupid being	
skye bo mang po	many beings	
skye bo mang po dga' ba	liking many beings	
skye bo mdza' ba la byams pa	loving friendly beings	
skye bo ngan pa	bad/evil being; bad/evil person	
skye bo ngan pa dang 'grogs pa	acquainting with bad beings; companying with bad beings	
skye bo nyon mongs pa can la rjes su brtse ba	mercy/compassion for beings with afflictions; mercy/compassion for	
skye bo phal cher	most beings	
skye bo phal po che	a large crowd of people	
skye bo rmongs pa	confused being	
skye bo sdang ba dang 'grogs pa	acqainting with hateful beings; accompanying with hateful beings	
skye bo'i tshogs	group of beings; collection of beings	
skye dang 'chi	birth and death	
skye dgag gnas gsum	the three: production, abiding, and cessation	
skye dgag gnas gsum mi rung ba'i chos	a phenomenon of which the three—production, abiding, and cessation	
skye dgag gnas gsum rung ba'i chos	a phenomenon of which the three—production, abiding, and cessation	
skye dgu	[creatures-nine]; all beings	
skye dgu'i bdag po dang bcas pa'i lha rnams	the gods together with Prajāpati	
skye dgu'i don	for the benefit of [all] beings	
skye gnas	birth-place; birth-situation	
skye mched	sense-sphere; sensory sphere; source [of consciousness]; sphere	
skye mched drug	six sense-spheres; six sources	
skye mched la mkhas	skill in the sense-spheres	
skye mchog	supreme person; supreme creature	
skye med	unborn; unproduced; birthless	
skye med gnas la	in the state of non-production	
skye rga na 'chi	birth, aging, sickness, death	
skye srid	birth-state	
skye tshul	mode of production; mode of generation	
skye zhing	is born/produced/generated	
skye zhing 'bri	be produced and diminish	
skye zhing 'jig pa	is produced and disintegrates; is born and is destroyed	
skyed	to generate | produce; generate; engender	
skyed byed	producer; generator; engenderer; that which produces	
skyed mos tshal	grove; park	
skyed mos tshal gyi sa	place of a grove; location of a park	
skyed pa	produce; generate; engender	
skyed par byed	produce; generate; engender	
skyed par mdzad pa	producer; means of production/generation	
skyed tshul	mode of production/generation/engendering	
skyel	to bring	
skyel ba	to conduct; accompany | take away; carry; send; risk; use; employ	
skyen pa	precipitate	
skyes	see skye | to be born; to arise; to grow | be born; be produced; be engendered	
skyes bu	living being, person | being; creature; person	
skyes bu 'bring	being of middling capacity; being of medium capacity	
skyes bu 'bring gi lam	path of a being of middling capacity	
skyes bu blun po	stupid being/person	
skyes bu byed pa'i 'bras bu	personally made effect	
skyes bu che 'bring thun mong gi lam	a path that is common to beings of great and middling capacity	
skyes bu chen po	great person (Skt. mahapurusha) | being of great capacity	
skyes bu chen po'i lam	a path of a being of great capacity	
skyes bu chen po'i mtshan	characteristic of a being of great capacity	
skyes bu chung 'bring thun mong gi lam	a path that is common to beings of small and middling capacity	
skyes bu chung ngu	being of small capacity	
skyes bu chung ngu dang thun mong pa'i lam	path in common with those of lesser capacity	
skyes bu chung ngu khyad par can	special being of small capacity	
skyes bu chung ngu khyad par can gyi lam	a path of a special being of small capacity	
skyes bu dam pa	excellent being; holy being; true being	
skyes bu dam pa la brten pa	relying/acquainting with on a holy/excellent/true being	
skyes bu dam pa'i las byed pa	performing the actions of a holy/excellent/true being	
skyes bu gang zag	person	
skyes bu gsum	beings of the three capacities [i.e., small, middling, and great]	
skyes bu gti mug can	beclouded/ignorant/confused/befuddled person	
skyes bu tshad ma	valid person/being	
skyes bu'i rgyud kyis bsdus pa'i rdul du grub pa	that which is atomically established and is included within the	
skyes bu'i rgyud kyis ma bsdus pa'i rdul du grub pa	that which is atomically established and is not included within the	
skyes bu'i shes rgyud	mental continuum of a being	
skyes bu'i shes rgyud bsdus pa	contained/included within the mental continuum of a being	
skyes bu'i shes rgyud kyis bsdus pa'i gzugs	form included within the mental continuum of a being	
skyes bu'i shes rgyud kyis ma bsdus pa'i gzugs	form not included within the mental continuum of a being	
skyes bu'i shes rgyud ma bsdus pa	not contained within the mental continuum of a being	
skyes bus byed pa'i 'bras bu	personally made effect	
skyes ma thag tu	immediately/right/just after being born/produced	
skyes na	when generated; if generated	
skyes nas	having been born; having been produced	
skyes pa	man, male person | created phenomenon; created; man; human being [synonymous with	
skyes pa bud med	man or woman; man and woman; men and women	
skyes pa tsam gyis 'jig par mi 'gyur	due to merely having been produced it is not destroyed	
skyes pa'i rabs	life stories; discourses on [Buddha's previous] births	
skyes pa'i rabs kyi sde	life stories; discourses on [Buddha's previous] births	
skyes rabs	life stories; discourses on [Buddha's previous] births	
skyes zin pa yang skye ba ni ma yin	what has already been produced is not produced again	
skyid	comfort; happiness	
skyid pa	to be happy | comfort; happiness	
skyid po	happiness	
skyid sdug	happiness and misery	
skyil krung; skyil mo krung	cross-legged; cross-legged posture	
skyil mo krung	cross-legged; cross-legged posture	
skyo	to be vexed (with) | grief; sorrow; weariness; pathetic; poor	
skyo ba	discouragement; sorrow; grief; weariness	
skyo ba can	discouraged; weary	
skyo ba dang ldan pa	discouraged; weary	
skyo ba med pa	non-discouragement	
skyo ba med pa yid la byed pa	taking to mind an absence of fatigue/discouragement/weariness	
skyo ba spangs pa	abandoned disregard for	
skyo bar 'gyur ba	become discouraged/weary/fatigued	
skyo bar byed	become discouraged; develop aversion; be averse{S 52.3}	
skyo bar byed pa	develop disregard for; develop weariness toward	
skyo bar byed par 'gyur na	when/if one has become weary	
skyo bar mi 'gyur	not become weary/fatigued/discouraged	
skyo bcas sems can smin par byed	ripening poor sentient beings	
skyo med	without fatigue/weariness/discouragement	
skyob	to guard; to save, to rescue	
skyob cing	protecting; defending; sheltering	
skyob pa	protect; guard; defend; shelter; protector; guardian; defender; shelter	
skyob pa po	protector; guardian; shelter	
skyob par byed cing	protect; guard; defend; shelter	
skyod pa	arouse; stir; move; cause to go	
skyon	fault; harm; misdeed | fault; disadvantage; fallacy; defect; flaw	
skyon 'phen pa	casting faults; critique; critic	
skyon dang yon tan	faults/defects and good qualities; disadvantages and advantages	
skyon dang yon tan dag dbye ba	differentiating faults and good qualities/disadvantages and advantages	
skyon dang yon tan du so so yang dag par rig pa	thorough knowledge individually of faults and good	
skyon du mi bya'o	not take as a fault/defect/disadvantage	
skyon ma mchis pa	flawless; faultless	
skyon med	faultless; flawless; flawlessness	
skyon med pa	faultless; flawless; flawlessness	
skyon med pa la 'jug nyid	entry into flawlessness	
skyon med par 'jug pa yang dag par 'grub pa	thorough establishment/accomplishing/achieving of entry into	
skyon mi 'byung	fault will not arise	
skyon sel mi nus pa	[you are] not able to avoid/eradicate/remove/clear	
skyon yon	faults and good qualities; disadvantages and advantages	
skyon yongs su shes	thorough knolwedge of faults/flaws/disadvantages	
skyong	to guard, protect | keep; sustain; maintain; protect; guard	
skyongs	keep; sustain; maintain; protect; guard	
skyor	recite; repeat; support; hold	
skyu na gsal	it is clear in the run of the text	
skyu ru ra	olive; sour medicinal fruit	
skyug log pa	[vomit-turn-out]; nausea	
skyung ka	a black bird with a red beak	
skyur ba	sour	
sla	easy; preferable{BJ 40.5}	
sla ba	easy | easy; preferable	
sla bo	easy; preferable	
sla rim byas ba	if you do it the easy way ...	
slad	back part | to pollute; defile	
slad du	in order to | for the sake of; on account of	
slad nas	afterwards; later	
slad rol pa	Forder	
slam me ba	glistening; shining; glittering	
slan te 'jog pa	re-setting; resetting	
slar	back | again; once more; back	
slar mi ldog pa'i 'gog bden	a true cessation which is irreversible	
slar sdod pa	withdrawal	
slar sdud pa	withdrawal	
slar yang	again{BJ 28.1}; further	
slar yang phul du byung ba'i khyad par	features that are further enhancements{BJ 59.1}	
slar zhing 'byung ba	further arising	
slas	retinue	
sleb	reach	
slob	to learn | to learn; teach; train in	
slob brgyud	lineage of disciples	
slob dpon	teacher | [teaching-chief]; master; teacher; instructor	
slob dpon 'dra ba	like a teacher	
slob dpon dang mi ldan pa	without teachers	
slob dpon dbyig gnen	the master Vasubandhu	
slob dpon gyi dpe mkhyud	closed-fisted teacher	
slob dpon sku mched	the Master [Asaṅga] and his brother [Vasubandhu]{BJ 46.7}	
slob dpon snying rje	compassionate teacher; compassion of the master; the master's	
slob dpon yang dag bden pa'i brjed byang	the master Paramārtha's Purification of Forgetfulness	
slob grwa	school	
slob grwa ba	student	
slob ma	student	
slob ma bzang po	good student	
slob mar gyur pa	is a student	
slob pa	learner; to learn; teach; train in	
slob pa po	learner	
slob pa'i lam	paths of learners	
slob tshen	lesson	
slobs	to learn; teach; train in	
slong	to order; to beg | ask; beg; collect; gather; raise; cause to rise; inspire; excite; arouse	
slong ba	ask; beg; collect; gather; raise; cause to rise; inspire; excite; arouse	
slong ba po	one who	
slong ba po'i skye bo	person who	
slongs	begging	
slu	to deceive, to bewitch, to delude; to conjure up	
slu ba	to deceive; deceptive	
slu bar	deceptive	
slu bar 'gyur ba	deceive	
slu snang	deceptive appearance	
smad	"lower; lower part; M#ay (""""Lower"""") College of S#e-ra Monastic"	
smad byung	fantastic and marvellous; fantastic; extraordinary	
smad du byung	fantastic and marvellous{BJ 29.3}	
smad du byung ba	wonderful	
smad pa	lower; lower part; blame	
smag	black; dark; darkness	
smag 'thug pos khyab pa	pervaded by thick darkness	
smag rum	dark; darkness	
sman	medicine, herb | medicine; drug	
sman bzang po	helpful medicine; good medicine	
sman khang	[medicine-house]; hospital	
sman pa	doctor, physician | physician; doctor	
sman pa'i rgyal po bla med	highest king of physicians	
smig rgyu	mirage	
smig rgyu dang rmi lam dang chu zla la sogs pa	mirage, dream, moon in water, etc.	
smig sgyu	mirage	
smin	ripe | ripen; mature; fructify; [for smin ma:] eyebrow	
smin byed	ripener; ripening; maturing	
smin ma	eyebrow	
smin mtshams kyi mdzod spu'i phrag	hair-treasure between the eyebrows; hair-tuft between the eyebrows	
smin pa	ripen; mature; fructify; maturation; ripening; matured; ripened	
smin par byed	maturing; ripening	
smin par byed pa	maturing; ripening	
smod pa	loathing; deprecating; deprecates	
smon	to desire | wish; admire; pray; aspire	
smon lam	[wish-path]; wishes; prayer-wishes; prayer; supplication; aspirational	
smon lam 'debs	offer a wish	
smon lam 'debs pa	offer a wish	
smon lam btab pa	plant prayer-wishes {T}	
smon lam chen po bcu mngon par sgrub pa	manifestly establish the ten great wishes	
smon lam dang ldan pa	having wishes	
smon lam dang sgrub pa'i khyad par	features of wishing and achievement {T}	
smon lam gyi dbang	the force of wishing	
smon lam gyi khyad par	feature of prayer-wishes {T}	
smon lam gyi pha rol tu phyin pa	perfection of wishing	
smon lam gyi stobs can	having the power of wishing	
smon lam khyad par can	having the feature of prayer-wishes {T}	
smon lam la brten pa	in dependence upon wishing	
smon lam mi gtong ba	not give up prayer-wishes	
smon lam shes pa	aspirational consciousness	
smon lam yid la byed pa	wishing mental contemplation; mental contemplation of wishing	
smon pa	wish; admire; pray; aspire	
smon pa lhun gyis grub pas	due to a spontaneous wish {T}	
smon pa med pa	wishlessness{N}	
smon pa med pa'i gzhi	basis of wishlessness; wishless basis	
smon pa med pa'i shes pa	cognition of wishlessness; wishless consciousness	
smon pa med pa'i ting nge 'dzin	meditative stabilization of wishlessness; wishless meditative	
smon pa med par gyur pa	wishlessness; wishless	
smon pa yid la byed pa	aspirational mental contemplation; mental contemplation of wishing	
smon pa'i sems	attitude of aspiration; wishing mind; aspirational mind	
smon par byed pa	aspire; wish; pray; vow; resolve	
smon par med pa	wishlessness; non-aspiration	
smon sems	attitude of aspiration [to full enlightenment]; aspirational mind of	
smon sems bskyed	[aspire-mind-generate]; generate the attitude of aspiration [to full	
smos	statement; [desiderative marker]	
smos ci dgos	what need is there to mention ... {T}	
smos pa	statement; saying:{BJ 38.2}	
smra	to speak; to say, to tell | propound; speak	
smra ba	propound; proponent{BJ 22.2}; speak; utter; say; advocate	
smra ba bla na med pa	unsurpassed proponent (an epithet of Shākyamuni Buddha)	
smra ba brjod pa	propound; express; state; speak; statement; speaking	
smra ba la yang slob par byed	learn to propound {T}	
smra ba nyung ba	speaks little	
smra ba zla med	unmatched proponents [of doctrine] (Buddhas)	
smra ba'i spros	conventional teaching	
smra bar byed do	propounding; speak; speaking	
smra med pa	non-propounding; not propound; unutterable	
smra mkhas	wise proponent; speak wisely	
smra mkhas pa	wise proponent; speak wisely	
smra mkhas pa dang ldan pa	wise speech; skilled speech; wise/skilled proponent {T}	
smra mkhas phun sum tshogs	the marvel of skilled speech {T}	
smra nus pa	able to propound; able to speak	
smra pa	propounding; proponent; speaker; teaching; spoke; taught; speak	
smrar med pa	non-propounding; not propound; unutterable	
smras	"see smra | to speak; to say, to tell | propound; speak; utter; say; advocate; """"it is said"""""	
smras nas ring mo zhig lon pa	speak for a long time	
smras pa	It is said; propound; speak; utter; say; advocate	
smre sngags	lamentation | sorrowful moaning	
smros	see smra | to speak; to say, to tell | propound; speak; utter; say; advocate	
smyig rgyu	mirage	
smyig rgyu lta bu	mirage-like; like a mirage	
smyo	to be mad; insane; crazy; be crazed	
smyon pa'i gar	dance of the insane{LWT 232}	
smyos	to be mad; insane; crazy; be crazed	
smyu gu	reed-pen	
smyug ma	reed	
smyug stag	tiger that stays in bamboo groves	
smyung gnas	fasting	
sna	kind; nose | (1) nose; nostril (2) various; varieties	
sna ba'i dbang po	nose sense power	
sna ba'i rnam par shes pa	nose consciousness	
sna dbang	nose sense-power	
sna min sna tshogs	various kinds	
sna rnam shes	nose consciousness	
sna ro	"[nose-horn]; the """"o"""" vowel"	
sna rtse	upperpoint (?); tip of the nose (?)	
sna rtser 'od thig sgom pa	meditation on a drop of light at the upper point [tip of the nose?] ...	
sna sgo	opening	
sna shes	nose consciousness	
sna shes kyi myong bya	apprehended object of a nose consciousness	
sna tshogs	various kinds | [various-collection]; the varieties; variegated; various	
sna tshogs 'du shes zhugs pa	engage in conceptions of varieties	
sna tshogs gnyis med pa	Non-Pluralists	
sna tshogs kyi 'du shes dang bral ba	free from various conceptions	
sna tshogs nyid	variousness; variety; variegated	
sna tshogs pa	various; variegated; the varieties	
sna tshogs rdo rje	variegated vajra	
sna tshogs su snang ba	appear as various	
sna'i dbang po	nose sense-power; nose sense power	
sna'i rnam shes	nose consciousness	
snabs	mucus of the nose; nasal mucus; snot	
snad	to hurt	
snags	mantra	
snags thig	mantra drop	
snam bu	woollens | woolen cloth{N}	
snang	to appear | to appear; perceive; light; illuminate; appearance	
snang ba	appear; perceive; light; illuminate; appearance; illumination	
snang ba 'od	light; radiance; splendor	
snang ba byed pa	appearance; illuminator; illuminate; perceiver	
snang ba dkar lam pa'i sems	mind of radiant white appearance	
snang ba ltar grub pa	established as it appears; exist as it appears	
snang ba ma mchis pa	non-appearance; non-perception; no light; non-illumination	
snang ba mched pa'i ting nge 'dzin	meditative stabilization of the increase of appearance	
snang ba med pa	non-appearance; non-perception; no light; non-illumination	
snang ba nyid kyang gzhan las nges pa	[prime cognizer for which] even the mere appearance is induced by	
snang ba rang las nges zhing bden pa gzhan las nges pa	[prime cognizer which] induces ascertainment by itself and induces	
snang ba thob pa'i ting nge 'dzin	meditative stabilization achieving perception [of emptiness]	
snang ba'i 'khrul pa yod pa	appearance that has error	
snang ba'i de kho na	suchness of appearance; suchness of perception	
snang ba'i dmigs rkyen	observed-object-conditions in the sense of appearing [to conceptual	
snang ba'i rgyu	cause of appearance/illumination	
snang ba'i rgyu mtshan	cause/sign/reason of appearance/illumination	
snang bar 'gyur ba	illuminate; light; appear	
snang bar bgyid pa	to appear; perceive; light; illuminate; appearance	
snang bar bya	to appear; perceive; light; illuminate; appearance; illumination	
snang bar byed pa	illuminator; appearance; perceiver; appear; illuminate; light	
snang bar gyur	to appear; perceive; light; illuminate; appearance	
snang bar gyur pa	to appear; perceive; light; illuminate; appearance	
snang cha	appearance factor	
snang dbang gis 'jug	operate through the power of appearance	
snang dbang gyis mi 'jug	not operate throught he power of appearance	
snang la ma nges	appearance without ascertainment	
snang la ma nges pa	awareness to which an object appears but is not ascertained	
snang la ma nges pa'i blo	awareness to which an object appears but is not ascertained; awareness	
snang med	without appearance	
snang ngo	appear [with terminator]; appearance factor	
snang ngor	for the appearance factor	
snang rung ma dmigs pa'i rtags	a sign which is a non-observation of the suitable to appear	
snang sems tsam	mere mental appearance	
snang stong gnyis tshogs	composite of appearance and emptiness{N}	
snang tsam	mere appearance	
snang tshul	mode of appearance	
snang yul	appearing object	
sne	extremity; end	
sne mo	extremity; end	
sne'u	nayu (in particular, the leaves of the plant)	
snga	earlier time | previous; former; before; early	
snga dar	earlier propagation of Buddhism	
snga logs su byung ba	prior arising	
snga ltas	former sign; prior sign; omen	
snga lugs su	prior	
snga ma	before | former; earlier; prior; early	
snga ma phyi ma khyad med	no difference between former and later	
snga ma'i las nyon	former actions and afflictions	
snga na med phyir	former non-existence	
snga nas bsags pa	formerly collected	
snga phyi	former and later; temporal	
snga phyi ba'i rten	temporal base	
snga phyi med pa	atemporal; no former and later	
snga phyi med par	atemporal; no former and later	
snga phyir	former and later	
snga rgol	former disputant	
snga rol	past ages, earlier time	
snga rol du	prior; before	
sngag	to praise	
sngags	mantra | spell; mantra; general word for tantra	
sngags kyi rigs	chanting(?)	
sngags kyi theg pa	Mantra Vehicle	
sngags mthus	by the power of a mantra{S}	
sngags rim	D#zong-ka-b#a's (tsong kha pa) Great Exposition of Secret Mantra	
sngang ba	appear; appearance; bright; shining	
sngar	earlier; before, ahead | before; formerly; previously	
sngar gyi gnas cha 'jig pa	the factor of stability [attained] earlier disintegrates	
sngar gyi mtshan ma	former sign	
sngar kun nas nyon mongs pa phyis rnam par byang	formerly afflicted, later purified {T}	
sngar lung ma bstan	not previously revealed in scripture	
sngar nas yod pas	since he has from before	
sngar phan	until recently	
sngar rgol	challenger (in debate); former party; prior opponent	
sngo	green | dedicate	
sngo 'dzin	apprehending blue	
sngo nag	blue black{D1}	
sngo sga	the leaves of green ginger which has a round type of leaf and grows in	
sngo skya	bluish{D1}	
sngon	earlier | prior; previous; former	
sngon 'dzin	apprehending blue	
sngon 'dzin dbang mngon gyis drangs pa'i sngon po nges pa'i shes don mthun	factually concordant determining consciousness of blue that is induced	
sngon 'dzin mngon sum gyi bdag rkyen	empowering/proprietary condition of a direct perception apprehending	
sngon 'dzin mngon sum gyi de ma thag rkyen	immediately preceding condition of a direct perception apprehending	
sngon 'dzin mngon sum gyi dmigs rkyen	observed object condition of a direct perceiver apprehending blue	
sngon 'dzin mngon sum rang dbang du gtso bor dngos su skyed byed	main direct producer of a direct perception apprehending blue under its	
sngon 'dzin mngon sum rang gi rnam ldan du gtso bor dngos su skyed byed	main direct producer of a direct perception apprehending blue as	
sngon 'dzin mngon sum sngon po'i rnam ldan du gtso bor dngos su skyed byed	main direct producer of a direct perception apprehending blue as	
sngon 'gro	[before-go]; preliminary; preparation; prerequisite; preliminary	
sngon 'gro tsam yin pas	since [they] are mere preliminaries	
sngon 'gro'i sbyor ba	preparatory training	
sngon 'jug	prefix	
sngon du 'gro ba	preliminary; prerequisite	
sngon du 'gro ye shes	preliminary exalted wisdom; previous exalted wisdom	
sngon du bsnyen pa	prior approximation	
sngon du bsnyen pa byed pa	prior approximation	
sngon du ma song bar	without being preceded by...	
sngon dus kyi srid pa	prior state [from the second moment until death; usually the longest of	
sngon goms par byas pa	cultivated previously {T}	
sngon gyi dus	former age; earlier time	
sngon gyi las	former action {T}	
sngon gyi smon lam	former prayer wishes {T}	
sngon ma	former	
sngon med pa	unprecedented{N}	
sngon med pa skye	not previously arisen	
sngon po	blue	
sngon rol	prior; previous	
sngon song	preceding	
sngos	dedicate	
snod	vessel; environment	
snod bcud	environment and beings	
snod chus bkang ba	vessel filled with water/fluid	
snod du gyur	which is a vessel; which is an environment	
snod du gyur pa	which is a vessel; which is an environment	
snod du ma gyur pa nyid	which is not a vessel; which is not an environment	
snod du ma gyur pa'i sems can	a being who is not a [proper] vessel	
snod du rung bar 'gyur	suitable to serve as a basis	
snod gyur	vessel; environment	
snod gyur pa	vessel; environment	
snod kyi 'jig rten	worldly environment	
snod nyid du ni byed pa	not serve as a vessel; not serve as an environment	
snod yongs su sbyong ba	very pure vessel; very pure environment; purify/wash/clean the vessel	
snom	to take | carry; take up; brandish; add	
snom mo	smell; grasp; carry; take up	
snom pa	smell; grasp; carry; take up; add	
snoms	carry; brandish; take up; add	
snon po btab	add on	
snrel gzhi	non-sequential{MA 386.16-17}	
snrel zhi	non-sequential{MA 386.16-17}	
snun	to stick in	
snyad	to tell	
snyam	to think; thought | verb: to think; consider; imagine noun: thought	
snyam bgyid lags so	I thought thus	
snyam du	thinking	
snyam du 'dzin pa	the conception thinking	
snyam du bsam nas	thinking	
snyam du dogs pa skye	generate a qualm; generate the qualm	
snyam du med do	not thinking(?)	
snyam du rlom	thinking	
snyam du sems	thinking	
snyam du sems pa	a mind thinking ...	
snyam du yid gnyis	doubt	
snyam ste dpyad par bya'o	... I think this, and it should be examined	
snyams par byed pa	think	
snyan	ear	
snyan grags	fame	
snyan gtad	[ear-focus] listen; hear	
snyan pa	pleasant, well-sounding; kind; comforting | pleasant; sweet to hear; fame; renown; glory	
snyan pa dang mi snyan pa'i sgra	pleasant and unpleasant sound	
snyan par rab grags	very famous	
snyan par smra ba	pleasant statement	
snyan par smra zhing	speaking pleasantly	
snyan po	pleasant; sweet to hear; fame; renown; glory	
snyan thos kyi mthong lam rnam grol lam	path of release of a Hearer's path of seeing	
snyan thos kyi sgom lam rnam grol lam	path of release of a Hearer path of meditation	
snye ma	fruit cluster	
snyed	about | how much; however much	
snyed 'dus pa na	as many	
snyems pa	haughtiness; arrogance; pride	
snyigs	impure; degenerate	
snyigs dus	[impurity-time]; degenerate era; impure time	
snyigs dus kyi tshe thung 'di nyid la	in just this short lifetime of the degenerate era	
snyigs ma	impurity; rotten; cruddy	
snyigs ma lnga	five impurities; five cruddinesses	
snyigs pa'i dus	[impurity-of-time] degenerate era; impure time	
snyin po med pa yin pa	essenceless; no essence	
snying	heart; mind	
snying brtse ba	loving, kind	
snying brtse ba dang ldan pa	having pity	
snying brtse ba nye bar bzung nas	apprehend pity	
snying brtse ba yongs su smin pa'i mtshan nyid	character of thoroughly mature pity	
snying dga' bar byed pa	make the heart/mind happy	
snying khu	fluidity	
snying nas	[heart-from]; from the heart; wholeheartedly; earnestly	
snying nas 'jug par byed	engage in ... wholeheartedly	
snying po	essence; {T} matrix	
snying po bsdus	condense the essence	
snying po chen po'i gzhan dbang du gyur	coming under the influence of great compassion(PGP-78)	
snying po ma mchis pa	essenceless; no essence	
snying po med	essenceless; no essence	
snying po med pa	essenceless; no essence	
snying rje	compassion | [heart-foremost]; compassion	
snying rje ba	compassionate | compassionate person	
snying rje ba byed pa	practice compassion	
snying rje bar byed pa	practice compassion	
snying rje can	compassionate	
snying rje che zhing snying brtse ba	great compassion and pity	
snying rje chen po	great compassion	
snying rje chen po nyid	greatly compassionate	
snying rje dang ldan pa	compassionate	
snying rje dang ldan par gnas pa	the level of having compassion {T}	
snying rje khyab pa	pervasive compassion	
snying rje la brten nas tshul khrims dang bzod pa	ethics and patience/forbearance/tolerance/endurance in dependence	
snying rje med pa	non-compassion; pitiless; merciless; cruel	
snying rje ni rnam par 'tshe ba'i gnyen po	compassion is the antidote for harmfulness {T}	
snying rje rje ltar	pitifully	
snying rje rnam par 'phel	impel compassion	
snying rje rtsa ba	compassionate roots; root of compassion	
snying rje tshad med pa dang ldan pa	possessing immeasurable compassion {T}	
snying rje zhing snying brtse ba	compassion and pity	
snying rje'i 'phel bar 'gyur ba	impelled by compassion	
snying rje'i bdag nyid	compassionate nature; nature of compassion	
snying rje'i bdag nyid can	having a compassionate nature; having a nature of compassion	
snying rje'i bsam pa	compassionate thought; thought of compassion	
snying rje'i dbang	power of compassion	
snying rje'i khyad par	attribute of compassion	
snying rje'i ljon shing	tree of compassion {T}	
snying rje'i phan yon	benefit and qualities of compassion (?) {T}	
snying rje'i rang bzhin	compassionate nature	
snying rje'i rkyen bstan pa	teach the conditions of compassion	
snying rjes bskyed pa'i sdug bsngal	suffering/pain produced by compassion	
snying rjes byams pa khyad par du 'phags pa	compassion is superior to love {T}	
snying rjes byas pa'i sbyin pa'i phan yon	benefits and qualities of giving which is done with compassion {T}	
snying rjes zhi la mi nye ba'i lam shes	knower of paths that does not abide in [the extreme of] peace through	
snying stobs	courage | power of heart{N}; lightness | lightness; power of heart	
snyod	to feed	
snyol	to lay down	
snyom pa	think; thinking; make even(?); make level(?); equalize(?)	
snyoms	verb: make even; make level; equalize adj.: equal; even	
snyoms 'jug	absorption; meditative absorption	
snyoms 'jug pa	a meditator Nihilist; absorption; meditative absorption; Meditator	
snyoms las kyi le lo	laziness of neutral activities	
snyoms pa	verb: make even; make level; equalize adj.: equal; even	
snyoms par 'jug lang byed nus pa dang	one is able to enter and arise from absorption{PGP 87}	
snyoms par 'jug pa	absorption; meditative absorption	
snyoms par zhug so	engage in; engage in meditative absorption	
snyoms par zhugs pa'i tshe	when one has engaged in meditative absorption	
snyoms par zhugs so	engage in; engage in meditative absorption	
snyoms zhugs nas	having engaged (in meditative absorption); having entered into	
snyon	deny; to tell a lie	
snyond	deny; to tell a lie	
snyun	illness	
so	tooth | tooth; [particle indicating the end of a statement, following the suffix	
so ba	unhusked barley | thick shelled barley	
so bdun	thirty-seven	
so bya	a big black bird that cannot go into water to get fish, so it stays on the	
so ma	new	
so mthar gyi sdom pa	discipline of individual emancipation	
so nam	agriculture	
so sgra	whistling through the teeth	
so skye	common being; ordinary being	
so skye bo	common being	
so so	distinct, separate; everyone | individual; diverse; discrete; separate; different	
so so ba	distinct; discrete; separate; individual; diverse; different	
so so ba ma yin pa'i chos	phenomena that are not distinct	
so so ba'i chos	phenomena that are distinct	
so so la	individually; discrete; separate(ly)	
so so nas	individually	
so so rang gi	individual; by oneself; individually	
so so rang gis	individual; by oneself; individually; by myself{S 2}	
so so rang gis rig par bya ba	object of individual knowledge	
so so rang rig	individual knowledge; know by myself/oneself	
so so re re	individually; separately	
