Source	Target	Notes
'dus ma byas	[assembled-not-made]; uncompounded; uncompounded [phenomenon]	
'dus ma byas kyi chos	uncompounded phenomenon	
'dus ma byas kyi nam mkha'	uncompounded space; uncomposed space	
'dus ma byas kyis rab tu phye ba	distinguished by the uncompounded	
'dus ma byas pa	uncompounded; that which is uncompounded	
'dus ma byis pa	uncaused; uncompounded	
'dus pa	included; assembled; collected; aggregation; composite	
'dus pa las byung ba'i ngo bo nyid	entity that arises from aggregation	
'dus par	included	
'dus par 'gyur	included; assembled	
'dus shes dang tshor ba 'gog pa	cessation of discrimination and feeling	
'dzad	to be consumed; to disappear	
'dzad med	[consume-not exist]; inexhaustible	
'dzag pa	to drip; trickle	
'dzam bu gling	continent (Skt. Jambudvipa, name of the Indian continent in Buddhist cosmology) | Jambudvīpathe Indian subcontinent; the world | the world; the Indian subcontinent; Jambudvīpa; Land of Jambu	
'dzam bu'i gling	the world; the Indian subcontinent	
'dzangs pa	wise; the wise	
'dzem med	one having no shame	
'dzigs	shaggy	
'dzin	to seize, to hold; to embrace; to take over; to take sth. as | verb: hold; bear; grasp; apprehend; conceive; identify{BJ 10.4} noun:	
'dzin chas	furniture	
'dzin cing bzhag na	apprehend; hold; grasp	
'dzin du 'jug pa	engage in grasping	
'dzin grwa	class [in school]	
'dzin med	non-grasping; non-apprehension; non-conception; non-identification	
'dzin mkhan	apprehender	
'dzin pa	verb: hold; bear; grasp; apprehend; conceive; identify{BJ 10.4} noun:	
'dzin pa 'khrul pa	mistaken apprehension {T}	
'dzin pa gnyis dang bral ba	free from the two graspings	
'dzin pa gzhan du gyur pa	changeable apprehension	
'dzin pa kun brtags mngon 'gyur ba	manifest artificial conception	
'dzin pa med	non-apprehension; non-grasping; non-conception	
'dzin pa med pa	non-apprehension; non-grasping; non-conception	
'dzin pa tsam	mere apprehension; mere grasping {T}	
'dzin pa'i 'khrul pa	mistake of apprehending; mistake of grasping {T}	
'dzin pa'i dmigs pa	apprehended object of observation	
'dzin pa'i don	apprehended meaning ? {T}	
'dzin pa'i mtshan nyid	apprehended characteristic; characteristic of apprehension {T}	
'dzin pa'i rdzas	substance grasped {T}	
'dzin pa'i rnam par g.yeng ba	distraction of grasping; distraction from apprehending ? {T}	
'dzin pa'i rnam par shes pa	apprehending consciousness	
'dzin par 'gyur ba	hold; bear; grasp; apprehend; conceive; identify	
'dzin par byed pa	apprehender; grasper; subject; conceiver; grasp; hold; apprehend	
'dzin par nus pa	able to grasp; able to apprehend	
'dzin rnam	that which has the aspect of the apprehender	
'dzin rtog pa	a conceptual consciousness--in the continuum of a person who does	
'dzin stangs	mode of apprehension{N}	
'dzin stangs kyi yul	object of the mode of apprehension	
'dzin stangs mi mthun pa	discordant modes of apprehension{N}	
'dzin tshad	measure of apprehension	
'dzom	gather; assembly	
'dzoms pa	gathered; a gathering; assembly	
'dzud	cause to enter; draw into; descend	
'dzud pa	cause to enter; draw into; descend	
'dzud par byed	cause to enter; draw into; descend	
'dzugs	to place | plant; establish; set; penetrate	
'dzum	smile	
'dzum par byed	make a smiling face; smile	
'ga'	a few, some	
'ga' rab	very many; quite a few	
'ga' shas	several; a few	
'ga' zhig	some	
'gag	be stopped/obstructed/destroyed/ceased/halted	
'gag bya	object stopped/obstructed/destroyed/ceased/halted	
'gag med	without cessation; unimpeded	
'gag pa	be stopped/obstructed/destroyed/ceased/halted	
'gag pa med	not be stopped/obstructed/destroyed/ceased/halted	
'gags	be stopped/obstructed/destroyed/ceased/halted	
'gags pa	be stopped/obstructed/destroyed/ceased/halted	
'gal	to contradict | contradict; contradictory with; mutually exclusive with	
'gal 'dus skyon med 'jig rten dpe las 'das pa	without the flaws of a combination of contradictions, beyond worldly	
'gal ba	contradiction; contradictory; mutually exclusive; mutually exclusive	
'gal ba med	non-contradictory; no contradiction	
'gal ba'i gtan tshigs	contradictory reason	
'gal bar byed	contradict	
'gal brjod thal 'gyur	contradictory consequence	
'gal khyab phyin ci log	perverse negative pervasionCheck Kathy	
'gal khyab rnal ma	contradictory normative pervasion Check Kathy	
'gal me	firebrand	
'gal med myur du bskor ba la brten nas 'gal med 'khor lor snang ba'i dbang shes	sense consciousness to which a firebrand wheel appears in dependence	
'gal rkyen	[contradict-condition]; contradictory condition; discordant condition	
'gal spong gi dris lan	question about contradiction and answer disspelling contradiction	
'gal zla	contradictory object	
'gems	to rip, to destroy	
'gengs	fill; fulfill; satiate	
'gengs pa	fill; fulfill; satiate	
'go	head; top; beginning	
'go ba	head; top; beginning	
'go log	Go-lok [an area in Am-do]	
'go rtsom	begin; initiate	
'god	set; state; establish; arrange; register; make a record; place [on throne]	
'god pa	set; state; establish; arrange; register; make a record; place [on throne]	
'god par byed	set; state; establish; arrange; register; make a record; place [on throne]	
'god tshul	mode of statement	
'gog	cease; stop; negate; refute | individual analytical cessation	
'gog bden	true cessation; truth of cessation	
'gog cing spong 'dod 'byung	wish to cease and abandon it arises	
'gog pa	cessation; stopping	
'gog pa dang lam gyi bden pa	truths of cessation and of path; true cessations and paths	
'gog pa med pa	non-cessation; not stopped; not ceased	
'gog pa'i bden pa	true cessation; truth of cessation	
'gog pa'i nus pa	capacity to stop/cease	
'gog pa'i snyoms 'jug	absorption of cessation; meditative absorption of cessation	
'gog par byed	stops; ceases; refutes	
'gog rgyu	that which is to be stopped/refuted; object negated/refuted	
'gog snyoms	absorption of cessation; meditative absorption of cessation	
'gor ti	'Gor-ti, place name	
'grags	to be called; to be known as	
'gram	bank of a river; riverbank	
'gran sems	quarrelsome temper	
'gre	to roll one's self | extend; apply | these can be known through extending the previous reasoning	
'grel	comment on; interpret; elucidate; explain	
